ID,Lat,Lon
1,41.79625619999999,-87.602367
2,41.7991574,-87.59582879999999
3,41.7892116,-87.60406619999999
4,41.7806003,-87.5864564
5,41.7892116,-87.60406619999999
6,41.79770155,-87.60509585
7,41.8027454,-87.5907382
8,41.785686,-87.5910433
9,41.79457499999999,-87.601637
10,41.79992319999999,-87.59161379999999
11,41.7999386,-87.5911268
12,41.8102825,-87.59221219999999
13,41.7910678,-87.60495069999999
14,41.7882484,-87.5909839
15,41.7895653,-87.5873883
16,41.7895653,-87.5873883
17,41.7954867,-87.6020783
18,41.7901437,-87.59606149999999
19,41.7916469,-87.6034081
20,41.7845959,-87.6008803
21,41.7901841,-87.6045875
22,41.7986738,-87.59972594999999
23,41.7913526,-87.60433309999999
24,41.7934284,-87.5839056
26,41.7929823,-87.60100320000001
27,41.7914497,-87.59403305000001
28,41.789734,-87.6015371
29,41.797814,-87.596811
30,41.7845959,-87.6008803
31,41.78952109999999,-87.60424909999999
32,41.7892116,-87.60406619999999
33,41.7901437,-87.59606149999999
34,41.78952109999999,-87.60424909999999
35,41.78952109999999,-87.60424909999999
36,41.7903948,-87.6038772
37,41.790212125,-87.59640075
38,41.7901437,-87.59606149999999
39,41.793204,-87.602639
40,41.7877085,-87.6036874
41,41.78852391666666,-87.59673670000001
42,41.7994513,-87.59583085
43,41.7839373,-87.60368160000002
44,41.78621425,-87.59296434999999
45,41.7853228,-87.60066069999999
46,41.7981626,-87.58905999999999
47,41.7846534,-87.60485949999999
48,41.7910678,-87.60495069999999
49,41.7854503,-87.603927
50,41.7892116,-87.60406619999999
51,41.7910678,-87.60495069999999
52,41.7992743,-87.5843084
53,41.8058503,-87.5956079
54,41.7823388,-87.5946903
55,41.8021008,-87.59634249999999
56,41.7854005,-87.6002883
57,41.79937953333333,-87.6026888
58,41.79693067999999,-87.60213351999998
59,41.7881189,-87.5898105
60,41.794766,-87.60163899999999
61,41.7912712,-87.59819279999999
62,41.7898637,-87.60276669999999
63,41.7889661,-87.60093189999999
64,41.7846534,-87.60485949999999
65,41.7878702,-87.59637719999999
66,41.7899689,-87.6052594
67,41.79639969999999,-87.5949528
68,41.7878888,-87.59475809999999
69,41.7902906,-87.6036892
70,41.7935817,-87.5989699
71,41.792279,-87.599954
72,41.7854005,-87.6002883
73,41.7840675,-87.6043861
74,41.7890602,-87.60645459999999
75,41.8000345,-87.58740449999999
76,41.7895848,-87.59641409999999
77,41.7934284,-87.5839056
78,41.7929823,-87.60100320000001
79,41.78952109999999,-87.60424909999999
80,41.7878702,-87.59637719999999
81,41.7979407,-87.59970829999999
82,41.7910678,-87.60495069999999
83,41.7903948,-87.6038772
84,41.7920395,-87.6017426
85,41.7845959,-87.6008803
86,41.7905318,-87.5948216
87,41.78796639999999,-87.59953639999999
88,41.7892116,-87.60406619999999
89,41.7846534,-87.60485949999999
90,41.7934642,-87.60020039999999
91,41.794474,-87.6016284
92,41.794474,-87.6016284
93,41.7900088,-87.60020999999999
94,41.7892116,-87.60406619999999
95,41.7900088,-87.60020999999999
96,41.7986245,-87.5893995
97,41.7903948,-87.6038772
98,41.8021802,-87.59033699999999
99,41.7846534,-87.60485949999999
100,41.7845959,-87.6008803
101,41.78796639999999,-87.59953639999999
102,41.803223900000006,-87.59659690000001
103,41.7932743,-87.5992108
104,41.7880686,-87.5956212
105,41.7974439,-87.59258345
106,41.7888793,-87.6049986
107,41.78874435,-87.59018885
108,41.7929725,-87.5999293
109,41.792015,-87.59772199999999
110,41.7929725,-87.5999293
111,41.7858644,-87.6060378
112,41.79102779999999,-87.59674919999999
113,41.7899689,-87.6052594
